Id,Label,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
1306789897257115649,namanyathiul,0,0,1,1,1,1,1,0,0.000227
1520918414,m_gibral,0,0,1,1,1,1,1,0,0.000227
83410092,rayshaeca,0,0,1,1,1,1,1,0,0.000227
634357396,sahnajaa,137,0,1,1,1,1,1,0,0.000227
196903679,twinkleliltstar,0,0,1,1,1,1,1,0,0.000227
81589844,bininyasojun,0,0,1,1,1,1,1,0,0.000227
1475334334286426114,ngemiforlife,0,0,1,1,1,1,1,0,0.000227
1176744081151553536,rawi_la,0,0,1,1,1,1,1,0,0.000227
547370176,levideale,0,0,1,1,1,1,1,0,0.000227
1081992675778191360,Eunha_archieve,0,0,1,1,1,1,1,0,0.000227
310109994,wildansyhrn,0,0,1,1,1,1,1,0,0.000227
1204864051,rozid_sagadaqu,0,0,1,1,1,1,1,0,0.000227
1121810046151577611,Mr_Ladusingh,0,0,1,1,1,1,1,0,0.000227
463364334,dimpillll,0,0,1,1,1,1,1,0,0.000227
901838935747215360,achmadsyah_ruby,0,0,1,1,1,1,1,0,0.000227
1026284617983127552,jkstllwu,0,0,1,1,1,1,1,0,0.000227
1510107448731836423,senxrv,137,0,1,1,1,1,1,0,0.000227
1528392444186095617,kakiyowo,0,0,1,1,1,1,1,0,0.000227
1569247189746196481,Giornovi,137,0,1,1,1,1,1,0,0.000227
883815889648275456,menangiez,0,0,1,1,1,1,1,0,0.000227
162312630,fauzan_aolindar,0,0,1,1,1,1,1,0,0.000227
382539558,savitricha,0,0,1,1,1,1,1,0,0.000227
1193254742337581056,kakangip,0,0,1,1,1,1,1,0,0.000227
1580184012181512193,sabilber,0,0,1,1,1,1,1,0,0.000227
885080428847259648,muzaqn,0,0,1,1,1,1,1,0,0.000227
1468806456342310913,cherrytomatoin,0,0,1,1,1,1,1,0,0.000227
1510730355745067008,mykiyowo,0,0,1,1,1,1,1,0,0.000227
1489045940484788227,viennayz,0,0,1,1,1,1,1,0,0.000227
63728536,terryaprils,164,0,2,2,1,1,1,0,0.000227
1500159326,Almightycapt,0,0,1,1,1,1,1,0,0.000227
860503899244969984,l0u1n2a9r,0,0,1,1,1,1,1,0,0.000227
3281755328,moremoremoreriz,0,0,1,1,1,1,1,0,0.000227
149003020,valentinneputri,0,0,1,1,1,1,1,0,0.000227
3259658101,trinidongz,0,0,1,1,1,1,1,0,0.000227
1010691048689922049,bocilrandom_,137,0,2,2,1,1,1,0,0.000227
1517913947533307904,kxflw___,0,0,1,1,1,1,1,0,0.000227
528980053,stitch26_,0,0,1,1,1,1,1,0,0.000227
1104926199875133440,wiguksaram,0,0,1,1,1,1,1,0,0.000227
1300781671076081664,ajeng_yudia,0,0,1,1,1,1,1,0,0.000227
1136074322039136256,inyonghaseyoo,0,0,1,1,1,1,1,0,0.000227
1317934730,ericleiws,0,0,1,1,1,1,1,0,0.000227
1415034792781877250,flyhlcy,0,0,1,1,1,1,1,0,0.000227
253034866,___Zulhanafi,0,0,1,1,1,1,1,0,0.000227
227552088,perdanaraditov,0,0,1,1,1,1,1,0,0.000227
175574045,apayanamanyaaa,0,0,1,1,1,1,1,0,0.000227
132958335,jpsatrio,0,0,1,1,1,1,1,0,0.000227
1498432742,kheiji,0,0,1,1,1,1,1,0,0.000227
111233093,SenaAryananda,0,0,1,1,1,1,1,0,0.000227
1001648731618455555,jaeilT_T,0,0,1,1,1,1,1,0,0.000227
374523990,feldyyy_,0,0,1,1,1,1,1,0,0.000227
1419579527521472512,jalursetapak,0,0,1,1,1,1,1,0,0.000227
1554767047376404480,sleeebeeww,0,0,1,1,1,1,1,0,0.000227
1494634218638684163,jaeminnyi,0,0,1,1,1,1,1,0,0.000227
610915732,Kresnaji_,137,0,1,1,1,1,1,0,0.000227
1478506307250499591,temwaram,0,0,1,1,1,1,1,0,0.000227
1341036558904750081,sunbin_eyes,0,0,1,1,1,1,1,0,0.000227
1565599974968430592,therabpy,0,0,1,1,1,1,1,0,0.000227
1856814769,iyaudahgapapa_,137,0,1,1,1,1,1,0,0.000227
1247996978421620737,ObatPertama,0,0,1,1,1,1,1,0,0.000227
1495638970645893124,GRajakelana,0,0,1,1,1,1,1,0,0.000227
1128097516577124352,_chijeugimbap,0,0,1,1,1,1,1,0,0.000227
248117780,monicafeby,0,0,1,1,1,1,1,0,0.000227
1114387583692226562,AtmajaNiti,0,0,1,1,1,1,1,0,0.000227
815410183425835008,starrychoux,0,0,1,1,1,1,1,0,0.000227
152171777,yaudahlayadin,0,0,1,1,1,1,1,0,0.000227
205492611,MuchlisSetiaji,0,0,1,1,1,1,1,0,0.000227
1042021328692183040,diheraaa,0,0,1,1,1,1,1,0,0.000227
95136625,jumpblanks,137,0,1,1,1,1,1,0,0.000227
143561319,jgufsal,0,0,1,1,1,1,1,0,0.000227
761513120,nichotelo,0,0,1,1,1,1,1,0,0.000227
60601072,aull_udell,0,0,1,1,1,1,1,0,0.000227
1571941182,bogumagic,0,0,1,1,1,1,1,0,0.000227
845509648224403456,Dika76595557,0,0,1,1,1,1,1,0,0.000227
3159177858,aeongiexx_,0,0,1,1,1,1,1,0,0.000227
826702608660172801,kmlapuri_,0,0,1,1,1,1,1,0,0.000227
1240454058067939328,lumeadr,137,0,2,2,1,1,1,0,0.000227
1138639153405366273,brtiar,0,0,1,1,1,1,1,0,0.000227
176019769,dhilahNjm,0,0,1,1,1,1,1,0,0.000227
1500561234508541952,cecep_abcd,0,0,1,1,1,1,1,0,0.000227
1254546735784816640,ps4249725259,0,0,1,1,1,1,1,0,0.000227
1218833467082850304,isxthar,0,0,1,1,1,1,1,0,0.000227
1486965347496333317,noirealm,0,0,1,1,1,1,1,0,0.000227
1265860646878367744,raxtih,0,0,1,1,1,1,1,0,0.000227
24360820,ricovespasprint,0,0,1,1,1,1,1,0,0.000227
1657675585,IniNamaAkun_,0,0,1,1,1,1,1,0,0.000227
937195274,iamgading,0,0,1,1,1,1,1,0,0.000227
1003162235538006016,ravenclowner,0,0,1,1,1,1,1,0,0.000227
994571157377445888,sandre_yeef,0,0,1,1,1,1,1,0,0.000227
1079332089424531459,siIverqueenr,0,0,1,1,1,1,1,0,0.000227
231728200,muh_kamaludin,0,0,1,1,1,1,1,0,0.000227
1069392566926303233,alauddinUUD,0,0,1,1,1,1,1,0,0.000227
1266729394963283971,hanxmae,0,0,1,1,1,1,1,0,0.000227
103570989,bardiq,0,0,1,1,1,1,1,0,0.000227
83571649,SIMPLEPAP,0,0,1,1,1,1,1,0,0.000227
1193610392,ika_sbramantya,0,0,1,1,1,1,1,0,0.000227
1515642469966544900,kohitadanomi,0,0,1,1,1,1,1,0,0.000227
1315937827750772736,duhpgntidur,0,0,1,1,1,1,1,0,0.000227
1480241826,rtficiall_,137,0,1,1,1,1,1,0,0.000227
1052097901986439169,exitedtofu,0,0,1,1,1,1,1,0,0.000227
2356031600,raniongz,0,0,1,1,1,1,1,0,0.000227
1144782611723591681,kayoungiw,0,0,1,1,1,1,1,0,0.000227
